application_id_enhancement_5_2_or_revision,application_date,name_of_developers,gna_st_ii_application_id,lta_application_id,voltage_level_kv,substation,state,region,nature_of_applicant,application_quantum_mw,cmets_gna_approved,cmets_gna_meeting_date,battery_injection_mw,installed_breakup_solar_mw,installed_breakup_wind_mw,type,date_for_additional_capacity,status_of_application,granted_quantum_mw,gna_operationalization_date,gna_operationalization_yes_no,installed_breakup_hybrid_mw,_partial_row,applied_start_date,ats_element_unique_code,dtl_element_unique_code,cts_element_unique_code,mode_criteria,_explicit_type_breakup,_capacity_headline_total
2200001986,28.04.2025,Solarcraft Power India 4 Private Limited,2200000192,,220.0,Bhadla-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",110.0,39.0,28.07.2025,110.0,110.0,,Solar+BESS,01.09.2028,Granted,110.0,,,,,,,,,,True,
2200001989,28.04.2025,Solarcraft Power India 17 Private Limited,2200000210,,,Bikaner-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,39.0,28.07.2025,300.0,300.0,,Solar+BESS,31.03.2027,Withdrawn,,,,,,,,,,,True,
2200001991,29.04.2025,Solarcraft Power India 4 Private Limited,2200000152,,,Bhadla-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",150.0,39.0,28.07.2025,150.0,150.0,,Solar+BESS,31.03.2027,Withdrawn,,,,,,,,,,,True,
2200001992,29.04.2025,Solarcraft Power India 8 Private Limited,2200000866,,220.0,Bikaner-V,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,39.0,28.07.2025,300.0,300.0,,Solar+BESS,30.09.2030,Granted,300.0,,,,,,,,,,True,
2200001995,30.04.2025,BN Dispatchable-1 Private Limited,2200000103,,220.0,Fatehgarh-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,39.0,28.07.2025,25.0,154.0,150.0,Hybrid+BESS,31.03.2027,Granted,300.0,,,,,,,,,,True,
2200002047,21.05.2025,AM Green Energy Private Limited,2200000319,,,Bikaner-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,39.0,28.07.2025,125.0,400.0,,Solar+BESS,11.11.2026,Withdrawn,,,,,,,,,,,True,
2200002079,23.05.2025,Juniper Green Cosmic Private Limited,2200000073,,,Bikaner-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",150.0,39.0,28.07.2025,150.0,150.0,,Solar+BESS,31.03.2027,Granted,150.0,,,,,,,,,,True,
2200002083,23-05-2025,Juniper Green Energy Private Limited,2200000305,,,Barmer- I,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",360.0,39.0,28.07.2025,160.0,300.0,,Solar+BESS,31.12.2028,Withdrawn,,,,,,,,,,,True,
2200002087,23.05.2025,Juniper Green Stellar Private Limited,2200000063,,,Fatehgarh-IV,Rajasthan,NR,Renewable Power Park developer,330.0,39.0,28.07.2025,160.0,300.0,170.0,Hybrid+BESS,31.12.2027,Withdrawn,,,,,,,,,,,True,
,30.10.2024,Azure Power Fifty One Private Limited,2200001420,,400.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, without ESS",600.0,38.0,28.05.2025,,300.0,,Solar,,Granted,600.0,30.09.2031,No,,,31.12.2029,,"EL-E140C, EL-24C88","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",Land Route,True,300.0
,06-01-2025,Jindal India RE Limited,2200001629,,220.0,Bikaner-VI,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,38.0,28.05.2025,150.0,300.0,,Solar+BESS,,Granted,300.0,31.12.2031,No,,,30.09.2027,,"EL-85879, EL-5264E","EL-2D2F2, EL-F66C7, EL-70C46, EL-8D787, EL-799E2, EL-C5217, EL-11BA3, EL-0BF7F, EL-4B103, EL-0A96D",Land BG Route,True,300.0
,10-01-2025,Renew Solar Power Private Limited,2200001550,,400.0,Barmer-IV,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,31.12.2031,No,,,03.03.2027,,"EL-75068, EL-84DBB","EL-99F64, EL-C2F66, EL-B1EED, EL-099D8, EL-F11A2, EL-5523F, EL-1D2C6, EL-0BF7F, EL-4B103, EL-7448F",LoA or PPA,True,300.0
,11-01-2025,Torrent Green Energy Private Limited,2200001642,,400.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, without ESS",1000.0,38.0,28.05.2025,,1000.0,,Solar,,Granted,1000.0,30.09.2031,No,,,31.12.2029,,"EL-B9C26, EL-80AC0","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-B4A45",Land BG Route,True,1000.0
,15-01-2025,JIRE Green Energy Project Two Limited,2200001659,,220.0,Barmer-IV,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,38.0,28.05.2025,150.0,300.0,,Solar+BESS,,Granted,300.0,31.12.2031,No,,,30.12.2028,,"EL-6D14B, EL-94ECD","EL-99F64, EL-C2F66, EL-B1EED, EL-099D8, EL-F11A2, EL-5523F, EL-1D2C6, EL-0BF7F, EL-4B103, EL-7448F",Land BG Route,True,300.0
,23-01-2025,Renew Solar Power Private Limited,2200001684,,400.0,Barmer-IV,Rajasthan,NR,"Generating station, including REGS, with ESS",200.0,38.0,28.05.2025,70.0,200.0,,Solar+BESS,,Granted,200.0,31.12.2031,No,,,31.01.2027,,"EL-75068, EL-84DBB","EL-99F64, EL-C2F66, EL-B1EED, EL-099D8, EL-F11A2, EL-5523F, EL-1D2C6, EL-0BF7F, EL-4B103, EL-7448F",LoA or PPA,True,200.0
,24-01-2025,Renew Solar Power Private Limited,2200001689,,400.0,Barmer-IV,Rajasthan,NR,"Generating station, including REGS, without ESS",300.0,38.0,28.05.2025,,300.0,,Solar,,Granted,300.0,31.12.2031,No,,,31.03.2027,,"EL-75068, EL-84DBB","EL-99F64, EL-C2F66, EL-B1EED, EL-099D8, EL-F11A2, EL-5523F, EL-1D2C6, EL-0BF7F, EL-4B103, EL-7448F",LoA or PPA,True,300.0
,28-01-2025,Hexa Climate Solutions Private Limited,2200001701,,220.0,Merta-III,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,38.0,28.05.2025,300.0,300.0,,Solar+BESS,,Applied,,,,,,30.11.2029,,,,Land BG Route,True,300.0
