sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
38,Andhra Pradesh,SR,Ananthapuram PS,,Between Jul-25 to Dec-25,3500.0,0.0,3500.0,Sept'25,1545.0,2484.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sept'25 
Ananthapuram PS has been closed for all purposes",
39,Karnataka,SR,Pavagada,"expansion 
with ICTs",Between Jul-25 to Dec-25,0.0,0.0,0.0,Sept'25,800.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800 MW : Sep'25 : 7th ICT,
40,Karnataka,SR,Davangere Complex,,Beyond Dec-25,8500.0,1000.0,7500.0,Mar'27,7022.0,850.0,7872.0,2989.0,0.0,2989.0,0.0,0.0,0.0,0.0,0.0,0.0,Mar'27  to Sep'27 (assuming SPV transfer by Mar'25),
40a,Karnataka,SR,Davangere,,Beyond Dec-25,4250.0,1000.0,3250.0,Mar'27,3388.0,850.0,4238.0,724.0,0.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,"2000 MW :Mar'27
Balance tr. System under bidding 
All under process applications may not be accommodated.",
40b,Karnataka,SR,Bellary,,Beyond Dec-25,4250.0,0.0,4250.0,Sep'27,3634.0,0.0,3634.0,2265.0,0.0,2265.0,0.0,0.0,0.0,0.0,0.0,0.0,"1500 MW :Sep'27
Balance tr. System under bidding 
All under process applications may not be accommodated.",
41,Karnataka,SR,Bijapur,,Beyond Dec-25,3500.0,0.0,3500.0,Jan'27,1962.0,0.0,1962.0,4431.0,1200.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,"2000 MW :Jan'27
All under process applications may not be accommodated.",
42,Karnataka,SR,Bidar PS,,Beyond Dec-25,2500.0,0.0,2500.0,Feb'26,3350.0,0.0,3350.0,1650.0,1100.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,"2500 MW : Feb'26
1000 MW: Feb'27 (Augmentation of 3x500 MVA ICTs (6th - 8th) & 1x1500 
MVA ICT(4th))
Transmission system for application beyond  3.5 GW has been put-on hold by 
NCT",
43,Andhra Pradesh,SR,"Ananthapuram/ 
Kurnool complex",,Beyond Dec-25,19500.0,0.0,19500.0,,10410.0,7730.0,18140.0,0.0,1450.0,1763.0,180.0,0.0,180.0,0.0,0.0,0.0,Progressivly from Mar'27 to Apr'27,
43a,Andhra Pradesh,SR,Kurnool-III,"Expansion 
with ICTs",Beyond Dec-25,4500.0,0.0,4500.0,Mar'27,0.0,3500.0,3500.0,0.0,1450.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,"• PSP  not considered for determination of margins
•  Kurnool-III PS has been closed for all purposes. 
All under process applications may not be accommodated.",
43b,Andhra Pradesh,SR,Ananthapuram PS-II,,Beyond Dec-25,7500.0,0.0,7500.0,"Mar'27 (Ph-I)
Mar'28 (Ph-II)",5420.0,1900.0,7320.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mar'27 (Phase-1) 
Progressively from Sept'27 to Mar'28  (Phase-2)
All under process applications may not be accommodated.",
43c,Andhra Pradesh,SR,Kurnool-IV,,Beyond Dec-25,7500.0,0.0,7500.0,"Mar'27 (Ph-I)
Mar'28 (Ph-II)",4990.0,2330.0,7320.0,0.0,0.0,0.0,180.0,0.0,180.0,0.0,0.0,0.0,"Mar'27 (Phase-1)
Progressively from Sept'27 to Mar'28  (Phase-2)",
44,Karnataka,SR,Tumkur-II,,Beyond Dec-25,3000.0,0.0,3000.0,Sep'26,2100.0,0.0,2100.0,2450.0,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,"1500 MW : Sep'26
All under process applications may not be accommodated.",
45,Telangana,SR,Nizamabad Complex,,Beyond Dec-25,5000.0,0.0,5000.0,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0,8500.0,0.0,8500.0,"Locations for RE potential declared in Telanagana under review by 
MNRE/SECI. Transmisison system put on-hold by NCT till finalization of same.",
45a,Telangana,SR,Nizamabad-II,,Beyond Dec-25,2000.0,0.0,2000.0,,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2500.0,,2500.0,"Locations for RE potential declared in Telanagana under review by 
MNRE/SECI. Transmisison system put on-hold by NCT till finalization of same.",
45b,Telangana,SR,Medak,,Beyond Dec-25,1500.0,0.0,1500.0,,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,3000.0,,3000.0,"Locations for RE potential declared in Telanagana under review by 
MNRE/SECI. Transmisison system put on-hold by NCT till finalization of same.",
