state,name_of_station,capacity_mva,capacity_allocated_mw,margin_existing_220kv,margin_existing_400kv,line_bays_existing_220kv,line_bays_existing_400kv,margin_ict_220kv,margin_ict_400kv,line_bays_ict_220kv,line_bays_ict_400kv,transformers_required,remarks
Bihar,Muzaffarpur,400/220kV: 2x315MVA + 2x500MVA,0,800,0,3,0,0,0,0,0,0,line corridor  available for 2 lines
Bihar,Saharsa,400/220kV: 2x500MVA,0,700,0,3,0,0,0,0,0,0,
Bihar,Sitamarhi,400/220kV: 2x500MVA,0,800+200,0,4,0,0,0,,,,
Bihar,Gaya,400/220kV: 2x500MVA + 1x315MVA,,2000+1000,,10,,,,,,,
Bihar,Darbhanga,400/220kV: 2x500MVA,0,0,0,0,0,0,0,0,0,0,
Bihar,Kishanganj,400/220kV: 2x500MVA,0,500,0,2,0,0,0,0,0,0,
Bihar,New Purnea,400/220kV: 2x500MVA,0,1000,0,4,0,0,0,0,0,0,
Bihar,Purnea,220/132kV: 3x160MVA,0,900,0,3,0,0,0,0,0,0,
Bihar,Sasaram,220/132kV: 3x160MVA,0,600,0,2,0,0,0,0,0,0,
West Bengal,Durgapur-B,400/220kV: 3x315MVA,0,0,,,,,,,,,220kV overloaded in present case under N-1.
West Bengal,Maithon-B,400/220kV: 3x500MVA,0,0,,,,,,,,,220kV overloaded in Base case (Maithon B - Asansol).
West Bengal,Subhasgram,400/220kV: 2x315MVA + 1x500MVA,0,0,0,0,,0,0,0,0,0,"220kV overloaded in present case under N-1 
(Subhasgram)."
West Bengal,Jeerat-New,765/400: 2x1500MVA,0,0,0,,0,0,0,0,0,0,400/220kV ICT overloaded in present case under N-1
West Bengal,Medinipur,765/400: 2x1500MVA,0,0,0,,0,0,0,,,,400/220kV ICT overloaded in present case
West Bengal,Alipurduar,400/220kV: 2x315MVA,0,0,,,,,,,,,
West Bengal,Baharampur,400kV switching,0,0,,,,,,,,,
West Bengal,Rajarhat,400/220kV: 3x500MVA,0,0,,,,,,,,,"220kV overloaded in present case under N-1 
(Subhasgram)."
West Bengal,Birpara,220/132kV: 2x160MVA,0,0,,,,,,,,,
West Bengal,Dalkhola,220kV switching,0,0,,,,,,,,,
West Bengal,Durgapur-A,400kV switching,0,0,,,,,,,,,
West Bengal,Maithon-A,400kV switching,0,0,,,,,,,,,
West Bengal,Farakka TPS,400/220kV: 2x315MVA,0,0,,,,,,,,,
West Bengal,Malda,400/220kV: 2x500MVA,0,0,,,,,,,,,
West Bengal,New Siliguri (Binaguri),400/220kV: 3x315MVA,0,0,,,,,,,,,132kV overloaded in present case under N-1 (Siliguri).
West Bengal,Siliguri,220/132kV: 2x160MVA,0,0,,,,,,,,,132kV overloaded in present case under N-1 (Siliguri).
